builderName,island/market,website,contactUrl,phone,email,evidenceUrl,evidenceType,activitySignal,confidence,notes,sourceBatch,route
HK Construction,Oahu: Honolulu remodels/builds,https://hkchawaii.com/,https://hkchawaii.com/contact/,808-841-1800,info@hkchawaii.com,https://hkchawaii.com/contact/,builder website,Official contact page live; home remodelers/builders in Honolulu positioning,Medium,Filtered malformed scraped email suffix; use info@ only.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Ko‘olau Builders Inc.,Oahu: Windward/Kailua/Kaneohe custom homes,https://koolaubuilders.com/,https://koolaubuilders.com/contact-us/,808.349.4539,info@koolaubuilders.com,https://koolaubuilders.com/contact-us/,builder website,Official contact page live; Oahu builder site active,High,Public business email/phone.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Design Trends Construction,Oahu: Honolulu residential renovation/construction,https://www.designtrendsconstruction.com/,https://www.designtrendsconstruction.com/contact,(808) 455-5215,,https://www.designtrendsconstruction.com/,builder website,Official site live; contact link present on homepage; phone present,Medium,Contact URL returned 404 during check but homepage/contact nav exists; treat cautiously.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Ward Village / Howard Hughes,Oahu: Honolulu/Kakaako residential master developer,https://www.wardvillage.com/,https://www.wardvillage.com/contact-us/,,,https://www.wardvillage.com/,developer website,Public site exists for active Honolulu residential towers/master plan; tool received 403 on fetch,Medium,Contact details not extracted because site blocked automated request; leave phone/email blank.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Stanford Carr Development,Oahu/Honolulu + Hawaii residential development,https://stanfordcarr.com/,https://stanfordcarr.com/contact/,,,https://stanfordcarr.com/,developer website,Official homepage live and identifies Honolulu-headquartered development firm; projects page live on non-www,Medium,www contact/projects paths showed spam/compromise content; use root homepage only and verify before outreach.,oahu_honolulu_home_builders_developers_2026.csv,buyerValidation
Low Budget Homes Ltd,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/low-budget-homes-ltd-hi,(808) 737-9881,,https://www.buildzoom.com/contractor/low-budget-homes-ltd-hi,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-19241,high,Keaau BuildZoom home-builder listing; public business phone present.,big_island_hawaii_county_home_builders.csv,buyerValidation
Ohana Homes,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/ohana-homes,,,https://www.buildzoom.com/contractor/ohana-homes,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-33544,medium,Keaau BuildZoom home-builder listing; no public phone found in listing JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Peck Homes Inc,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/peck-homes-inc-keaau,,,https://www.buildzoom.com/contractor/peck-homes-inc-keaau,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-26854,medium,Keaau BuildZoom home-builder listing; no public phone found in listing JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Hilo Home Construction LLC,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/hilo-home-construction-llc,,,https://www.buildzoom.com/contractor/hilo-home-construction-llc,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-26517,medium,Keaau BuildZoom home-builder listing; no public phone found in listing JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
"Kavana Homes, Inc",Hawaii County / Hilo,,https://www.buildzoom.com/contractor/kavana-homes-inc,(808) 935-4243,,https://www.buildzoom.com/contractor/kavana-homes-inc,BuildZoom public profile/category,Custom Home Build; New Home Construction; Hawaii GC license CT-11686,high,Hilo BuildZoom Top Home Builders listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Island Style Homes LLC,Hawaii County / Hilo,,https://www.buildzoom.com/contractor/island-style-homes-llc,(808) 640-7974,,https://www.buildzoom.com/contractor/island-style-homes-llc,BuildZoom public profile/category,Custom Home Build; New Home Construction; Hawaii GC license CT-25260,high,Hilo BuildZoom Top Home Builders listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Ferreira Homes Hawaii LLC,Hawaii County / Hilo,,https://www.buildzoom.com/contractor/ferreira-homes-hawaii-llc,(808) 896-9692,,https://www.buildzoom.com/contractor/ferreira-homes-hawaii-llc,BuildZoom public profile/category,Custom Home Build; New Home Construction; Hawaii GC license CT-33523,high,Hilo BuildZoom Top Home Builders listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Carlson Homes Inc,Hawaii County / Hilo,,https://www.buildzoom.com/contractor/carlson-homes-inc-hilo,1(808) 933-3077,,https://www.buildzoom.com/contractor/carlson-homes-inc-hilo,BuildZoom public profile/category,Custom Home Build; New Home Construction; Hawaii GC license CT-27070,high,Hilo BuildZoom Top Home Builders listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Cameron Homes,Hawaii County / Hilo,,https://www.buildzoom.com/contractor/cameron-homes-hilo,,,https://www.buildzoom.com/contractor/cameron-homes-hilo,BuildZoom public profile/category,Custom Home Build; New Home Construction; Hawaii GC license CT-16719,medium,Hilo BuildZoom Top Home Builders listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
De Costa Homes Hawaii,Hawaii County / Hilo,,https://www.buildzoom.com/contractor/de-costa-homes-hawaii,,,https://www.buildzoom.com/contractor/de-costa-homes-hawaii,BuildZoom public profile/category,Custom Home Build; New Home Construction; Hawaii GC license CT-9085,medium,Hilo BuildZoom Top Home Builders listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Advanced Home Builders LLC,Hawaii County / Hilo,,https://www.buildzoom.com/contractor/advanced-home-builders-llc-hilo-hi,,,https://www.buildzoom.com/contractor/advanced-home-builders-llc-hilo-hi,BuildZoom public profile/category,Custom Home Build; New Home Construction; Hawaii GC license CT-37246,medium,Hilo BuildZoom Top Home Builders listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
"Mallard Homes, Inc",Hawaii County / Hilo,,https://www.buildzoom.com/contractor/mallard-homes-inc-hilo-hi,,,https://www.buildzoom.com/contractor/mallard-homes-inc-hilo-hi,BuildZoom public profile/category,Custom Home Build; New Home Construction; Hawaii GC license CT-6448,medium,Hilo BuildZoom Top Home Builders listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Castle Custom Homes Inc,Hawaii County / Kailua-Kona,,https://www.buildzoom.com/contractor/castle-custom-homes-inc,(808) 261-4051,,https://www.buildzoom.com/contractor/castle-custom-homes-inc,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-29980,high,Kailua-Kona BuildZoom home-builder listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Heritage Homes Contracting LLC,Hawaii County / Kailua-Kona,,https://www.buildzoom.com/contractor/heritage-homes-contracting-llc,(808) 331-2183,,https://www.buildzoom.com/contractor/heritage-homes-contracting-llc,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-28248,high,Kailua-Kona BuildZoom home-builder listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Kinghorn Homes Inc,Hawaii County / Kailua-Kona,,https://www.buildzoom.com/contractor/kinghorn-homes-inc,,,https://www.buildzoom.com/contractor/kinghorn-homes-inc,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-27292,medium,Kailua-Kona BuildZoom home-builder listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Island Paradise Homes,Hawaii County / Kailua-Kona,,https://www.buildzoom.com/contractor/island-paradise-homes,(808) 640-4844,,https://www.buildzoom.com/contractor/island-paradise-homes,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-25018,high,Kailua-Kona BuildZoom home-builder listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Island Home Construction LLC,Hawaii County / Kailua-Kona,,https://www.buildzoom.com/contractor/island-home-construction-llc-hi,,,https://www.buildzoom.com/contractor/island-home-construction-llc-hi,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-24227,medium,Kailua-Kona BuildZoom home-builder listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
House-it Custom Homes LLC,Hawaii County / Kailua-Kona,,https://www.buildzoom.com/contractor/house-it-custom-homes-llc,,,https://www.buildzoom.com/contractor/house-it-custom-homes-llc,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-23887,medium,Kailua-Kona BuildZoom home-builder listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Leeward Home Builders,Hawaii County / Kailua-Kona,,https://www.buildzoom.com/contractor/leeward-home-builders,,,https://www.buildzoom.com/contractor/leeward-home-builders,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-10219,medium,Kailua-Kona BuildZoom home-builder listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Grace Built Homes Inc,Hawaii County / Kailua-Kona,,https://www.buildzoom.com/contractor/grace-built-homes-inc,,,https://www.buildzoom.com/contractor/grace-built-homes-inc,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-38257,medium,Kailua-Kona BuildZoom home-builder listing; phone only where present in JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Big Mountain Homes and Remodeling,Hawaii County / Waikoloa,,https://www.buildzoom.com/contractor/big-mountain-homes-and-remodeling,(808) 426-3418,,https://www.buildzoom.com/contractor/big-mountain-homes-and-remodeling,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license shown in profile JSON-LD,high,Waikoloa BuildZoom contractor profile fetched live; do not confuse with unrelated Wyoming bigmountainhomes.com.,big_island_hawaii_county_home_builders.csv,buyerValidation
Don Trabert Custom Homes Ltd,Hawaii County / Waimea,,https://www.buildzoom.com/contractor/don-trabert-custom-homes-ltd,,,https://www.buildzoom.com/contractor/don-trabert-custom-homes-ltd,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-17091,medium,Waimea BuildZoom home-builder listing; no public phone found in listing JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Kauai Ohana Homes Inc,Hawaii County / Waimea,,https://www.buildzoom.com/contractor/kauai-ohana-homes-inc,,,https://www.buildzoom.com/contractor/kauai-ohana-homes-inc,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-18115,medium,Waimea BuildZoom home-builder listing; no public phone found in listing JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
Lineage Homes,Hawaii County / Waimea,,https://www.buildzoom.com/contractor/lineage-homes-kamuela-hi,,,https://www.buildzoom.com/contractor/lineage-homes-kamuela-hi,BuildZoom public profile/category,Custom Home Build; New Home Construction; other residential/multifamily/framing/modular; Hawaii GC license CT-16259,medium,Waimea BuildZoom home-builder listing; no public phone found in listing JSON-LD.,big_island_hawaii_county_home_builders.csv,buyerValidation
HPM Homes / HPM Building Supply,Hawaii County / Hilo-Kona-Waimea-Keaau,https://www.hpmhawaii.com/hpm-homes,https://www.hpmhawaii.com/contact,(808) 935-0875,hilo.hdc@hpmhawaii.com; kona.hdc@hpmhawaii.com; waimea.hdc@hpmhawaii.com,https://www.hpmhawaii.com/hpm-homes,Company website,"HPM Homes page says packaged home plans and home planning consultants; sitemap/location pages show Hilo, Kona, Waimea, Keaau operations and public emails",high,Supplier/home-planning prospect rather than GC builder; strong Big Island new-home package signal.,big_island_hawaii_county_home_builders.csv,buyerValidation
Genuine Homes LLC,Hawaii County / Mountain View,,https://www.buildzoom.com/contractor/genuine-homes-llc-mt-view-hi,,,https://www.buildzoom.com/contractor/genuine-homes-llc-mt-view-hi,BuildZoom listing discovered,Home-builder contractor profile discovered from BuildZoom Mountain View home-builders page,low,Profile fetch later hit BuildZoom rate limit; include only as low-confidence lead with contactUrl and no phone/email.,big_island_hawaii_county_home_builders.csv,buyerValidation
Crescent Homes Maui,Maui,https://www.crescenthomesmaui.com/,https://www.crescenthomesmaui.com/,808-727-1162,,https://www.crescenthomesmaui.com/available-inventory,available inventory/new homes,Move-In Ready New Homes in Maui page; custom home builder/design-build pages surfaced,High,"Phone found on site; contact form/contact URL not exposed in crawl, homepage has conversion paths.",hawaii_builders_prospects.csv,buyerValidation
Volk Pacific,Maui/Lanai/Molokai possible outer-island luxury,https://www.volkpacific.com/,https://www.volkpacific.com/contact,+1 808-879-8866,team@volkpacific.com,https://www.volkpacific.com/projects,portfolio/projects,Projects page and luxury custom vacation homes copy active on site,High,Yahoo result for Lanai/Molokai custom home queries; verify exact island fit before outreach.,hawaii_builders_prospects.csv,buyerValidation
Maui Built Homes,Maui,https://www.mauibuilthomes.com/,https://www.mauibuilthomes.com/,808-989-5470,mauibuilthomes@gmail.com,https://www.mauibuilthomes.com/services,services/custom builder site,Maui Built Homes site with services/about pages,Medium,Public Gmail and phone on site.,hawaii_builders_prospects.csv,buyerValidation
Boyd Construction,Maui,https://www.boydmaui.com/,https://www.boydmaui.com/contact,(808) 283-8722,info@boydmaui.com,https://www.boydmaui.com/,custom/luxury builder website,Yahoo result title: Luxury Custom Home Builder Maui; contact page verified,High,Wix site; filtered out non-business Sentry emails.,hawaii_builders_prospects.csv,buyerValidation
Mark Lee Building Company,Maui,https://markleebuildingcompany.com/,https://markleebuildingcompany.com/,(808) 280-1015,,https://markleebuildingcompany.com/ha%ca%bbiku-custom-home-builders-remodel-specialists/,localized custom-home service page,Haiku/Kaanapali/Kapalua custom home builder/remodel specialist pages,High,Phone on site; multiple active locality pages.,hawaii_builders_prospects.csv,buyerValidation
Creative Builders Maui LLC,Maui,https://creativebuildersmaui.com/,https://creativebuildersmaui.com/#contact,(808) 281-9243,,https://creativebuildersmaui.com/#about,custom carpentry/building site,Custom Carpentry & Building in Hawaii; about/contact anchors,Medium,Single-page site.,hawaii_builders_prospects.csv,buyerValidation
Ventura Construction Corporation,Maui,https://vccmaui.com/,https://vccmaui.com/contact-us/,808-876-0341,,https://vccmaui.com/custom-homes/,custom homes page,Maui Custom Home Builders and Custom Homes page,High,Public phone and contact page.,hawaii_builders_prospects.csv,buyerValidation
Millennium Construction,Maui/Lahaina,https://www.millenniumconstructionhawaii.com/,https://www.millenniumconstructionhawaii.com/contact,(808) 215-0141,,https://www.millenniumconstructionhawaii.com/home-builder,custom home-builder page,Custom Home Builder Lahaina/Maui page plus gallery/multifamily pages,High,Public phone and contact form page.,hawaii_builders_prospects.csv,buyerValidation
McVey Design + Build,Kauai,https://www.mcveydesignandbuild.com/,https://www.mcveydesignandbuild.com/contact,(808) 822-0073; (808) 635-1386,gabe@mcveydesignandbuild.com,https://www.mcveydesignandbuild.com/projects,projects/portfolio,Luxury Custom Home Builder on Kauai; custom home projects page,High,Direct email and phones on contact/about pages.,hawaii_builders_prospects.csv,buyerValidation
Voyager Construction,Kauai,https://www.voyagerhi.com/,https://www.voyagerhi.com/contact-8,808.315.0410,marketing@voyagerhawaii.com,https://www.voyagerhi.com/copy-2-of-completed-projects,under-construction/projects,Site includes Completed Projects and Under Construction navigation,High,Custom Home Builder/General Contractor Kauai.,hawaii_builders_prospects.csv,buyerValidation
Classic Island Homes,Kauai,https://classicislandhomes.com/,https://classicislandhomes.com/contact/,(808) 652-0029,,https://classicislandhomes.com/general-contractor-kauai/,custom-home/locality page,Build a Custom Home Kauai; portfolio items Anini Vista/Haena Beachfront,High,Public phone and contact page.,hawaii_builders_prospects.csv,buyerValidation
Freitas Building Company,Kauai,https://fbcbuilders.com/,https://fbcbuilders.com/contact-us,808-400-3232,fbcbuilders@yahoo.com,https://fbcbuilders.com/gallery,new construction/gallery,Custom building/remodeling on Kauai; New Construction/Gallery navigation,High,Public phone/email.,hawaii_builders_prospects.csv,buyerValidation
Joel Koetje General Contracting,Kauai,https://koetjecontractingkauai.com/,https://koetjecontractingkauai.com/contact/,(808) 337-2800; (808) 639-0771,,https://koetjecontractingkauai.com/projects/,projects portfolio,Kauai custom home builder; Projects page,High,Public office/mobile phones.,hawaii_builders_prospects.csv,buyerValidation
Antony Homes,Kauai,https://www.antonyhomes.com/hawaii,https://www.antonyhomes.com/hawaii,808-652-4011,info@antonyhomes.com; jim@antonyhomes.com,https://www.antonyhomes.com/hawaii,Hawaii custom-home page,"Custom Home Builder in Kauai, Hawaii page; press/media/team pages",High,Public phone/emails on site.,hawaii_builders_prospects.csv,buyerValidation
Silliman Construction,Kauai,https://sillimanconstruction.com/,https://sillimanconstruction.com/contact/,808-333-9085,info@sillimanconstruction.com,https://sillimanconstruction.com/projects/,projects portfolio,Kauai Custom Homes Home Builder; Projects page,High,Public phone/email.,hawaii_builders_prospects.csv,buyerValidation
Brian Andrew Construction,Kauai,https://www.brianandrewconstruction.com/,https://www.brianandrewconstruction.com/,(808) 271-4342,Brian@BrianAndrewConstruction.com,https://www.brianandrewconstruction.com/projects,projects portfolio,Projects include Kukuiula Modern Resort/Kula Makai homes,High,Contact details on site/home footer.,hawaii_builders_prospects.csv,buyerValidation
Williams Construction Kauai,Kauai,https://www.williamsconstructionkauai.com/,https://www.williamsconstructionkauai.com/contact,808-822-2456,questions@williamsconstructionkauai.com,https://www.williamsconstructionkauai.com/about,selected works/services,Residential architects and builders; selected works/services/about,High,Public phone/email.,hawaii_builders_prospects.csv,buyerValidation
H-1 Construction,Hawaii statewide/Outer Islands incl. Molokai query result,https://h1constructionhawaii.com/,https://h1constructionhawaii.com/about/,(808) 723-1588,,https://h1constructionhawaii.com/custom-home-builder-hawaii/,custom-home-builder page/recent modified,Award-Winning Custom Home Builders in Hawaii; about page dateModified 2026-04-18 in schema,Medium,Contact page returned 403; about/custom-home pages accessible. Validate outer-island service area.,hawaii_builders_prospects.csv,buyerValidation
Towne Island Homes / Towne Development of Hawaii,Maui,https://towneislandhomes.com/,https://towneislandhomes.com/contact,(808) 243-3300; (808) 895-3157; (808) 895-3158,nhuang@townemaui.com; jaloy@townemaui.com; darylflem@hawaiilife.com,https://towneislandhomes.com/quick-move-ins,new-home community/quick move-ins,Anuhea at Kehalani community; quick move-ins/contact/sales office PDFs,High,"Residential developer/new homes, not custom builder.",hawaii_builders_prospects.csv,buyerValidation
Kukuiula,Kauai,https://kukuiula.com/,https://kukuiula.com/contact/,,,https://kukuiula.com/,master-planned residential community,"Private club and residential community; 1,010 acres copy on homepage",Medium,"Contact page exists but fetch hit 403; include contact page only, no phone/email captured.",hawaii_builders_prospects.csv,buyerValidation
Dion Kawakami Building Services,Hawaii County / Mt View,,https://www.buildzoom.com/contractor/dion-kawakami-building-services,(808) 896-4135,,https://www.buildzoom.com/contractor/dion-kawakami-building-services,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Padillas Construction,Hawaii County / Mt View,,https://www.buildzoom.com/contractor/padillas-construction,,,https://www.buildzoom.com/contractor/padillas-construction,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Jim A Riddiford,Hawaii County / Mountian View,,https://www.buildzoom.com/contractor/jim-a-riddiford,,,https://www.buildzoom.com/contractor/jim-a-riddiford,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Michael J Fairchild,Hawaii County / Mountain View,,https://www.buildzoom.com/contractor/michael-j-fairchild,,,https://www.buildzoom.com/contractor/michael-j-fairchild,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Michael K Evans Jr,Hawaii County / Mountain View,,https://www.buildzoom.com/contractor/michael-k-evans-jr,,,https://www.buildzoom.com/contractor/michael-k-evans-jr,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Larry C Bianchi,Hawaii County / Mountain View,,https://www.buildzoom.com/contractor/larry-c-bianchi,,,https://www.buildzoom.com/contractor/larry-c-bianchi,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Monarch Inc,Hawaii County / Mountain View,,https://www.buildzoom.com/contractor/monarch-inc-holualoa-hi,,,https://www.buildzoom.com/contractor/monarch-inc-holualoa-hi,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
John F Dichristina,Hawaii County / Mountain View,,https://www.buildzoom.com/contractor/john-f-dichristina,,,https://www.buildzoom.com/contractor/john-f-dichristina,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Ola Builders LLC,Hawaii County / Mountain View,,https://www.buildzoom.com/contractor/ola-builders-llc-mountain-view-hi,,,https://www.buildzoom.com/contractor/ola-builders-llc-mountain-view-hi,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Kimo Kahele Construction,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/kimo-kahele-construction,(808) 966-4855,,https://www.buildzoom.com/contractor/kimo-kahele-construction,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Heartwood Pacific LLC,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/heartwood-pacific-llc,(808) 327-6700,,https://www.buildzoom.com/contractor/heartwood-pacific-llc,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
